# HOMER Peaks
# Peak finding parameters:
# tag directory = IP_rep1_tags
#
# total peaks = 11103
# peak size = 300
# peaks found using tags on both strands
# minimum distance between peaks = 200
# fragment length = 160
# genome size = 2000000000
# Total tags = 25256038.0
# Total tags in peaks = 1060916.0
# Approximate IP efficiency = 4.20%
# tags per bp = 0.001100
# expected tags per peak = 0.330
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 6.331788e-08
# FDR tag threshold = 7.0
# number of putative peaks = 13440
#
# input tag directory = INPUT_rep1_tags
# Fold over input required = 1.50
# Poisson p-value over input required = 1.00e-03
# Putative peaks filtered by input = 2187
#
# size of region used for local filtering = 10000
# Fold over local region required = 1.50
# Poisson p-value over local region required = 1.00e-03
# Putative peaks filtered by local signal = 143
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 7
#
# cmd = findPeaks IP_rep1_tags -style factor -F 1.5 -P 0.001 -L 1.5 -LP 0.001 -minDist 200 -size 300 -inputSize 600 -i INPUT_rep1_tags -o IP_rep1_vs_INPUT_rep1_peaks.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chrX-7	chrX	52935079	52935379	+	48.7	0.796	14.000000	108.8	5.0	21.76	1.64e-101	41.43	5.87e-149	0.76
chr1-329	chr1	116268172	116268472	+	48.3	0.865	9.000000	107.9	15.0	7.19	2.01e-53	15.23	6.33e-97	1.23
chr1-496	chr1	151839677	151839977	+	48.3	0.710	8.000000	107.9	11.0	9.81	4.07e-66	16.64	2.46e-101	1.23
chr1-917	chr1	233112931	233113231	+	48.3	0.992	7.000000	107.9	3.0	35.97	4.71e-123	493.08	7.90e-278	1.41
chr2-420	chr2	39235809	39236109	+	48.3	0.780	7.000000	107.9	3.0	35.97	4.71e-123	80.50	2.39e-182	1.41
chr2-95	chr2	61017013	61017313	+	48.3	0.620	11.000000	107.9	4.0	26.98	4.08e-110	12.68	6.35e-88	1.09
chr3-446	chr3	63853176	63853476	+	48.3	0.638	8.000000	107.9	15.0	7.19	2.01e-53	7.39	3.01e-62	1.23
chr3-365	chr3	160869872	160870172	+	48.3	0.959	9.000000	107.9	3.0	35.97	4.71e-123	25.78	2.10e-123	1.09
chr4-24	chr4	2008939	2009239	+	48.3	0.717	11.000000	107.9	10.0	10.79	4.08e-70	31.31	2.48e-133	0.90
chr7-86	chr7	25862481	25862781	+	48.3	0.823	11.000000	107.9	6.0	17.99	3.91e-92	31.31	2.48e-133	0.99
chr7-190	chr7	74254393	74254693	+	48.3	0.687	9.000000	107.9	6.0	17.99	3.91e-92	12.60	1.31e-87	1.09
chr7-288	chr7	87219260	87219560	+	48.3	0.821	8.000000	107.9	5.0	21.58	3.55e-100	24.65	3.98e-121	1.41
chr7-151	chr7	143901477	143901777	+	48.3	0.878	10.000000	107.9	6.0	17.99	3.91e-92	27.98	1.43e-127	0.99
chr8-76	chr8	85840841	85841141	+	48.3	0.767	12.000000	107.9	5.0	21.58	3.55e-100	13.60	2.39e-91	0.82
chr8-341	chr8	143281817	143282117	+	48.3	0.878	8.000000	107.9	6.0	17.99	3.91e-92	14.61	7.22e-95	1.23
chr9-142	chr9	133873201	133873501	+	48.3	0.967	10.000000	107.9	4.0	26.98	4.08e-110	7.77	1.51e-64	0.99
chr9-118	chr9	137611706	137612006	+	48.3	0.955	11.000000	107.9	10.0	10.79	4.08e-70	9.37	2.42e-73	0.99
chr10-186	chr10	121554920	121555220	+	48.3	0.935	8.000000	107.9	6.0	17.99	3.91e-92	24.50	8.25e-121	1.23
chr11-172	chr11	118929584	118929884	+	48.3	0.855	9.000000	107.9	1.0	107.92	3.03e-173	7.92	1.82e-65	1.23
chr12-156	chr12	49842871	49843171	+	48.3	0.756	9.000000	107.9	6.0	17.99	3.91e-92	29.44	3.55e-130	1.09
chr12-56	chr12	56104214	56104514	+	48.3	0.686	13.000000	107.9	10.0	10.79	4.08e-70	17.15	7.86e-103	0.82
chr14-389	chr14	76917153	76917453	+	48.3	0.992	7.000000	107.9	8.0	13.49	1.26e-79	12.64	9.11e-88	1.41
chr14-129	chr14	94080974	94081274	+	48.3	0.836	10.000000	107.9	6.0	17.99	3.91e-92	25.78	2.10e-123	1.09
chr16-112	chr16	2768726	2769026	+	48.3	0.925	12.000000	107.9	6.0	17.99	3.91e-92	22.54	1.41e-116	0.90
chr16-160	chr16	84851266	84851566	+	48.3	0.723	11.000000	107.9	6.0	17.99	3.91e-92	13.46	7.65e-91	0.99
chr17-132	chr17	58352021	58352321	+	48.3	0.609	17.000000	107.9	12.0	8.99	1.67e-62	11.60	1.38e-83	0.62
chr17-299	chr17	58636841	58637141	+	48.3	0.788	13.000000	107.9	39.0	2.77	2.58e-19	2.87	2.46e-23	0.82
chr17-1190	chr17	60006281	60006581	+	48.3	0.992	8.000000	107.9	48.0	2.25	1.62e-13	11.78	2.64e-84	1.23
chr17-956	chr17	61252784	61253084	+	48.3	0.878	9.000000	107.9	62.0	1.74	1.36e-07	3.15	1.38e-26	1.09
chr17-1700	chr17	61331262	61331562	+	48.3	0.660	7.000000	107.9	61.0	1.77	6.38e-08	1.98	7.42e-12	1.64
chr20-1629	chr20	36086896	36087196	+	48.3	0.992	8.000000	107.9	6.0	17.99	3.91e-92	24.81	1.91e-121	1.23
chr20-1146	chr20	47648870	47649170	+	48.3	0.662	10.000000	107.9	54.0	2.00	1.33e-10	3.22	1.80e-27	1.09
chr20-2203	chr20	48386328	48386628	+	48.3	0.748	7.000000	107.9	10.0	10.79	4.08e-70	8.82	1.63e-70	1.41
chr20-792	chr20	48632461	48632761	+	48.3	0.812	12.000000	107.9	24.0	4.50	1.90e-35	4.49	1.98e-40	0.99
chr20-1168	chr20	48900842	48901142	+	48.3	0.860	10.000000	107.9	35.0	3.08	1.25e-22	6.15	5.39e-54	1.23
chr20-2348	chr20	54110650	54110950	+	48.3	0.548	7.000000	107.9	59.0	1.83	1.28e-08	3.56	3.06e-31	1.41
chr20-2381	chr20	54362332	54362632	+	48.3	0.992	7.000000	107.9	45.0	2.40	3.12e-15	5.12	5.38e-46	1.41
chr20-1542	chr20	54506471	54506771	+	48.3	0.833	9.000000	107.9	45.0	2.40	3.12e-15	4.75	9.10e-43	1.23
chr20-1917	chr20	54560527	54560827	+	48.3	0.782	8.000000	107.9	62.0	1.74	1.36e-07	4.28	1.63e-38	1.23
chr20-2418	chr20	54914094	54914394	+	48.3	0.992	7.000000	107.9	61.0	1.77	6.38e-08	6.31	4.02e-55	1.41
chr1-174	chr1	107095474	107095774	+	47.9	0.866	11.000000	107.0	20.0	5.35	3.34e-42	5.60	2.00e-49	0.90
chr1-178	chr1	114001616	114001916	+	47.9	0.913	11.000000	107.0	16.0	6.69	7.46e-51	8.60	9.66e-69	0.99
chr1-67	chr1	120723645	120723945	+	47.9	0.992	16.000000	107.0	3.0	35.68	4.71e-123	134.91	9.65e-208	0.66
chr2-357	chr2	217988190	217988490	+	47.9	0.785	8.000000	107.0	2.0	53.52	1.82e-141	18.03	1.76e-104	1.23
chr3-201	chr3	49939827	49940127	+	47.9	0.810	10.000000	107.0	5.0	21.41	3.55e-100	13.78	3.11e-91	1.09
chr3-91	chr3	64398691	64398991	+	47.9	0.993	13.000000	107.0	42.0	2.55	3.72e-17	8.83	5.50e-70	0.90
chr3-156	chr3	64444904	64445204	+	47.9	0.631	11.000000	107.0	47.0	2.28	4.57e-14	4.17	3.80e-37	0.99
chr3-114	chr3	64561252	64561552	+	47.9	0.938	12.000000	107.0	40.0	2.68	1.44e-18	5.39	8.59e-48	0.82
chr3-95	chr3	64686008	64686308	+	47.9	0.720	13.000000	107.0	49.0	2.18	5.52e-13	3.96	4.02e-35	0.76
chr3-495	chr3	64799128	64799428	+	47.9	0.811	8.000000	107.0	31.0	3.45	1.48e-26	3.66	4.71e-32	1.64
chr3-164	chr3	107796790	107797090	+	47.9	0.992	11.000000	107.0	2.0	53.52	1.82e-141	34.32	6.18e-137	0.90
chr3-555	chr3	150763289	150763589	+	47.9	0.935	8.000000	107.0	7.0	15.29	2.12e-85	14.54	6.94e-94	1.23
chr3-253	chr3	193828510	193828810	+	47.9	0.811	10.000000	107.0	6.0	17.84	3.91e-92	19.86	2.70e-109	0.99
chr5-147	chr5	16752257	16752557	+	47.9	0.945	8.000000	107.0	10.0	10.70	4.08e-70	32.07	1.77e-133	1.41
chr5-22	chr5	151252561	151252861	+	47.9	0.984	15.000000	107.0	0.5	214.07	3.05e-205	51.48	9.78e-158	0.66
chr6-100	chr6	108689280	108689580	+	47.9	0.992	10.000000	107.0	4.0	26.76	4.08e-110	32.33	6.75e-134	0.99
chr7-331	chr7	151062863	151063163	+	47.9	0.938	8.000000	107.0	2.0	53.52	1.82e-141	9.90	2.25e-75	1.23
chr8-470	chr8	118850002	118850302	+	47.9	0.992	7.000000	107.0	7.0	15.29	2.12e-85	391.23	1.95e-263	1.64
chr9-152	chr9	6015468	6015768	+	47.9	0.992	9.000000	107.0	10.0	10.70	4.08e-70	25.24	2.45e-121	1.09
chr10-175	chr10	100729073	100729373	+	47.9	0.992	8.000000	107.0	5.0	21.41	3.55e-100	27.36	2.07e-125	1.23
chr11-42	chr11	36510198	36510498	+	47.9	0.600	14.000000	107.0	3.0	35.68	4.71e-123	32.33	6.75e-134	0.82
chr14-15	chr14	56579572	56579872	+	47.9	0.762	21.000000	107.0	5.0	21.41	3.55e-100	15.84	4.48e-98	0.55
chr15-38	chr15	65517333	65517633	+	47.9	0.807	15.000000	107.0	4.0	26.76	4.08e-110	18.03	1.76e-104	0.66
chr16-311	chr16	1067692	1067992	+	47.9	0.969	8.000000	107.0	6.0	17.84	3.91e-92	8.03	1.35e-65	1.23
chr17-647	chr17	40576067	40576367	+	47.9	0.907	10.000000	107.0	3.0	35.68	4.71e-123	93.15	1.90e-188	1.09
chr17-468	chr17	50904639	50904939	+	47.9	0.642	11.000000	107.0	6.0	17.84	3.91e-92	17.86	5.02e-104	0.90
chr17-1130	chr17	58660310	58660610	+	47.9	0.699	8.000000	107.0	54.0	1.98	1.33e-10	3.39	4.29e-29	1.23
chr17-491	chr17	59835373	59835673	+	47.9	0.820	11.000000	107.0	67.0	1.60	4.12e-06	2.62	3.92e-20	0.90
chr17-689	chr17	59930908	59931208	+	47.9	0.993	10.000000	107.0	54.0	1.98	1.33e-10	3.18	8.20e-27	1.09
chr17-1212	chr17	60315875	60316175	+	47.9	0.816	8.000000	107.0	60.0	1.78	2.90e-08	3.48	4.12e-30	1.23
chr17-619	chr17	64506267	64506567	+	47.9	0.651	11.000000	107.0	12.0	8.92	1.67e-62	14.65	2.99e-94	0.90
chr17-451	chr17	75459918	75460218	+	47.9	0.924	12.000000	107.0	10.0	10.70	4.08e-70	9.93	1.71e-75	0.82
chr19-252	chr19	4915287	4915587	+	47.9	0.917	7.000000	107.0	3.0	35.68	4.71e-123	39.92	1.14e-144	1.41
chr19-276	chr19	13116289	13116589	+	47.9	0.719	7.000000	107.0	2.0	53.52	1.82e-141	14.33	3.66e-93	1.41
chr20-1633	chr20	40945251	40945551	+	47.9	0.992	8.000000	107.0	10.0	10.70	4.08e-70	18.20	6.10e-105	1.23
chr20-279	chr20	47516802	47517102	+	47.9	0.755	17.000000	107.0	59.0	1.81	1.28e-08	2.62	4.80e-20	0.58
chr20-2132	chr20	47570171	47570471	+	47.9	0.771	7.000000	107.0	70.0	1.53	2.39e-05	1.93	4.46e-11	1.64
chr20-1388	chr20	47585925	47586225	+	47.9	0.992	9.000000	107.0	70.0	1.53	2.39e-05	3.06	2.22e-25	1.09
chr20-525	chr20	47663031	47663331	+	47.9	0.648	14.000000	107.0	65.0	1.65	1.14e-06	1.75	9.84e-09	0.70
chr20-779	chr20	47693922	47694222	+	47.9	0.697	12.000000	107.0	48.0	2.23	1.62e-13	1.96	1.57e-11	0.90
chr20-533	chr20	47912190	47912490	+	47.9	0.823	14.000000	107.0	40.0	2.68	1.44e-18	4.04	6.84e-36	0.70
chr20-2211	chr20	48535515	48535815	+	47.9	0.807	7.000000	107.0	19.0	5.63	3.72e-44	6.73	1.43e-57	1.41
chr20-1758	chr20	48543179	48543479	+	47.9	0.844	8.000000	107.0	21.0	5.10	2.30e-40	4.46	7.18e-40	1.23
chr20-2225	chr20	48784346	48784646	+	47.9	0.992	7.000000	107.0	16.0	6.69	7.46e-51	4.05	6.22e-36	1.41
chr20-1244	chr20	54044518	54044818	+	47.9	0.756	10.000000	107.0	63.0	1.70	2.84e-07	3.70	1.73e-32	1.09
chr20-1514	chr20	54077223	54077523	+	47.9	0.976	9.000000	107.0	58.0	1.85	5.48e-09	2.88	3.15e-23	1.23
chr20-2358	chr20	54164973	54165273	+	47.9	0.785	7.000000	107.0	56.0	1.91	9.12e-10	2.64	2.24e-20	1.41
chr20-1530	chr20	54217365	54217665	+	47.9	0.896	9.000000	107.0	55.0	1.95	3.54e-10	5.32	2.90e-47	1.09
chr20-1544	chr20	54553089	54553389	+	47.9	0.704	9.000000	107.0	63.0	1.70	2.84e-07	4.91	7.82e-44	1.23
chr20-1075	chr20	58209790	58210090	+	47.9	0.960	11.000000	107.0	18.0	5.95	3.07e-46	9.23	4.89e-72	0.90
chr1-308	chr1	96060676	96060976	+	47.5	0.976	9.000000	106.2	2.0	53.08	9.76e-140	38.04	4.90e-141	1.09
chr1-358	chr1	179882609	179882909	+	47.5	0.710	9.000000	106.2	7.0	15.16	3.24e-84	24.10	4.91e-118	1.09
chr1-529	chr1	187066105	187066405	+	47.5	0.902	8.000000	106.2	5.0	21.23	7.60e-99	121.25	1.60e-200	1.41
chr1-560	chr1	234875563	234875863	+	47.5	0.928	8.000000	106.2	3.0	35.38	1.68e-121	19.40	3.00e-107	1.23
chr2-192	chr2	55269192	55269492	+	47.5	0.851	9.000000	106.2	2.0	53.08	9.76e-140	12.89	2.73e-87	1.09
chr3-219	chr3	64257983	64258283	+	47.5	0.992	10.000000	106.2	46.0	2.31	2.87e-14	4.61	6.32e-41	0.99
chr3-99	chr3	156674204	156674504	+	47.5	0.655	13.000000	106.2	7.0	15.16	3.24e-84	9.63	1.94e-73	0.76
chr4-38	chr4	189233792	189234092	+	47.5	0.992	11.000000	106.2	62.0	1.71	2.38e-07	40.42	4.08e-144	0.90
chr5-88	chr5	148011895	148012195	+	47.5	0.872	10.000000	106.2	3.0	35.38	1.68e-121	28.53	1.70e-126	1.23
chr7-368	chr7	6157712	6158012	+	47.5	0.960	7.000000	106.2	2.0	53.08	9.76e-140	26.39	1.37e-122	1.41
chr7-266	chr7	47505149	47505449	+	47.5	0.930	8.000000	106.2	4.0	26.54	1.09e-108	22.30	3.67e-114	1.41
chr8-213	chr8	119873633	119873933	+	47.5	0.975	9.000000	106.2	5.0	21.23	7.60e-99	24.40	1.17e-118	1.09
chr10-141	chr10	44173606	44173906	+	47.5	0.992	8.000000	106.2	6.0	17.69	6.98e-91	16.87	2.30e-100	1.23
chr10-147	chr10	63712380	63712680	+	47.5	0.851	8.000000	106.2	7.0	15.16	3.24e-84	80.83	1.34e-179	1.23
chr11-51	chr11	61429900	61430200	+	47.5	0.868	13.000000	106.2	4.0	26.54	1.09e-108	24.71	2.71e-119	0.76
chr11-232	chr11	74417341	74417641	+	47.5	0.992	8.000000	106.2	4.0	26.54	1.09e-108	45.65	2.60e-150	1.23
chr12-71	chr12	74508961	74509261	+	47.5	0.927	12.000000	106.2	6.0	17.69	6.98e-91	79.18	1.54e-178	0.90
chr12-188	chr12	98491043	98491343	+	47.5	0.928	9.000000	106.2	3.0	35.38	1.68e-121	58.79	3.04e-163	1.23
chr14-76	chr14	24213397	24213697	+	47.5	0.947	11.000000	106.2	2.0	53.08	9.76e-140	17.56	2.51e-102	0.99
chr14-97	chr14	95212552	95212852	+	47.5	0.918	11.000000	106.2	8.0	13.27	1.69e-78	60.62	8.05e-165	0.99
chr15-134	chr15	50089451	50089751	+	47.5	0.992	9.000000	106.2	11.0	9.65	3.96e-65	30.08	3.71e-129	1.23
chr15-65	chr15	62897062	62897362	+	47.5	0.960	12.000000	106.2	4.0	26.54	1.09e-108	37.67	1.53e-140	0.82
chr16-446	chr16	295629	295929	+	47.5	0.893	7.000000	106.2	6.0	17.69	6.98e-91	19.70	5.36e-108	1.41
chr16-183	chr16	15888474	15888774	+	47.5	0.993	10.000000	106.2	6.0	17.69	6.98e-91	18.13	6.55e-104	0.99
chr16-277	chr16	74608875	74609175	+	47.5	0.878	9.000000	106.2	6.0	17.69	6.98e-91	13.11	4.26e-88	1.23
chr16-223	chr16	88923812	88924112	+	47.5	0.745	10.000000	106.2	8.0	13.27	1.69e-78	2.45	8.23e-18	0.99
chr17-374	chr17	59884266	59884566	+	47.5	0.761	12.000000	106.2	45.0	2.36	7.46e-15	2.46	7.18e-18	0.90
chr17-311	chr17	60196074	60196374	+	47.5	0.992	13.000000	106.2	66.0	1.61	3.60e-06	3.75	1.20e-32	0.76
chr17-518	chr17	60373004	60373304	+	47.5	0.705	11.000000	106.2	33.0	3.22	5.38e-24	4.46	1.52e-39	0.99
chr17-330	chr17	61359462	61359762	+	47.5	0.578	13.000000	106.2	60.0	1.77	5.23e-08	1.86	3.93e-10	0.82
chr17-454	chr17	79114899	79115199	+	47.5	0.967	12.000000	106.2	5.0	21.23	7.60e-99	27.13	5.65e-124	0.82
chr17-457	chr17	83155300	83155600	+	47.5	0.913	12.000000	106.2	5.0	21.23	7.60e-99	10.16	6.00e-76	0.90
chr19-59	chr19	4388714	4389014	+	47.5	0.992	11.000000	106.2	4.0	26.54	1.09e-108	23.10	6.55e-116	0.90
chr19-279	chr19	13162745	13163045	+	47.5	0.824	7.000000	106.2	3.0	35.38	1.68e-121	18.65	2.59e-105	1.41
chr19-85	chr19	16253527	16253827	+	47.5	0.902	10.000000	106.2	4.0	26.54	1.09e-108	43.11	2.12e-147	1.09
chr20-909	chr20	47278173	47278473	+	47.5	0.626	11.000000	106.2	61.0	1.74	1.13e-07	2.24	4.61e-15	0.90
chr20-1395	chr20	47661141	47661441	+	47.5	0.662	9.000000	106.2	66.0	1.61	3.60e-06	1.83	1.27e-09	1.41
chr20-786	chr20	47769714	47770014	+	47.5	0.704	12.000000	106.2	24.0	4.42	8.51e-35	4.92	1.46e-43	0.90
chr20-1040	chr20	54636031	54636331	+	47.5	0.800	11.000000	106.2	32.0	3.32	5.53e-25	4.39	6.73e-39	0.99
chr20-2470	chr20	58577295	58577595	+	47.5	0.993	7.000000	106.2	6.0	17.69	6.98e-91	10.51	1.40e-77	1.64
chr21-26	chr21	42086244	42086544	+	47.5	0.802	11.000000	106.2	7.0	15.16	3.24e-84	20.64	2.58e-110	0.90
chr1-157	chr1	203861398	203861698	+	47.1	0.882	12.000000	105.3	7.0	15.04	4.91e-83	19.05	1.79e-105	0.90
chr1-388	chr1	247104349	247104649	+	47.1	0.820	9.000000	105.3	4.0	26.32	2.90e-107	48.70	2.35e-152	1.09
chr2-128	chr2	27409650	27409950	+	47.1	0.967	10.000000	105.3	5.0	21.05	1.61e-97	27.88	2.59e-124	0.99
chr3-465	chr3	64308014	64308314	+	47.1	0.992	8.000000	105.3	38.0	2.77	3.40e-19	3.71	4.49e-32	1.23
chr3-319	chr3	64576576	64576876	+	47.1	0.944	9.000000	105.3	41.0	2.57	5.17e-17	3.66	1.71e-31	1.09
chr6-247	chr6	3343134	3343434	+	47.1	0.967	7.000000	105.3	5.0	21.05	1.61e-97	75.44	1.34e-174	1.41
chr6-81	chr6	10418944	10419244	+	47.1	0.792	10.000000	105.3	7.0	15.04	4.91e-83	9.57	1.43e-72	0.99
chr6-138	chr6	69894585	69894885	+	47.1	0.992	9.000000	105.3	1.0	105.27	3.43e-169	3847.67	0.00e+00	1.09
chr6-36	chr6	138403923	138404223	+	47.1	0.869	14.000000	105.3	0.5	210.53	1.38e-200	29.37	6.55e-127	0.76
chr6-233	chr6	146905488	146905788	+	47.1	0.838	8.000000	105.3	4.0	26.32	2.90e-107	116.60	7.40e-197	1.41
chr8-187	chr8	93754761	93755061	+	47.1	0.616	9.000000	105.3	9.0	11.70	1.96e-72	16.37	4.30e-98	1.23
chr9-264	chr9	109316343	109316643	+	47.1	0.992	8.000000	105.3	7.0	15.04	4.91e-83	21.99	1.57e-112	1.23
chr9-303	chr9	131734264	131734564	+	47.1	0.992	8.000000	105.3	4.0	26.32	2.90e-107	10.46	1.10e-76	1.41
chr9-213	chr9	134363385	134363685	+	47.1	0.810	9.000000	105.3	2.0	52.63	5.17e-138	5.31	1.90e-46	1.09
chr10-258	chr10	71868098	71868398	+	47.1	0.993	7.000000	105.3	0.5	210.53	1.38e-200	19.14	1.02e-105	1.41
chr11-217	chr11	66345021	66345321	+	47.1	0.842	8.000000	105.3	6.0	17.54	1.23e-89	15.83	1.81e-96	1.23
chr11-66	chr11	68013265	68013565	+	47.1	0.944	12.000000	105.3	3.0	35.09	5.93e-120	11.12	1.41e-79	0.90
chr12-26	chr12	47802441	47802741	+	47.1	0.836	16.000000	105.3	6.0	17.54	1.23e-89	33.17	5.38e-133	0.62
chr12-77	chr12	116390366	116390666	+	47.1	0.951	12.000000	105.3	0.5	210.53	1.38e-200	9.94	2.46e-74	0.90
chr12-48	chr12	116559408	116559708	+	47.1	0.745	14.000000	105.3	6.0	17.54	1.23e-89	20.80	8.61e-110	0.76
chr13-155	chr13	99192122	99192422	+	47.1	0.992	7.000000	105.3	5.0	21.05	1.61e-97	113.17	2.50e-195	1.64
chr14-221	chr14	61321470	61321770	+	47.1	0.992	8.000000	105.3	3.0	35.09	5.93e-120	12.49	4.38e-85	1.41
chr14-118	chr14	69767181	69767481	+	47.1	0.707	10.000000	105.3	4.0	26.32	2.90e-107	15.77	2.85e-96	0.99
chr16-100	chr16	75129830	75130130	+	47.1	0.895	13.000000	105.3	7.0	15.04	4.91e-83	35.96	4.75e-137	0.82
chr17-459	chr17	1684510	1684810	+	47.1	0.786	11.000000	105.3	4.0	26.32	2.90e-107	30.78	2.97e-129	0.90
chr17-1242	chr17	60586837	60587137	+	47.1	0.641	8.000000	105.3	47.0	2.24	2.38e-13	3.47	1.59e-29	1.41
chr17-816	chr17	78142110	78142410	+	47.1	0.992	10.000000	105.3	0.5	210.53	1.38e-200	9.43	6.95e-72	0.99
chr20-609	chr20	38033433	38033733	+	47.1	0.829	13.000000	105.3	3.0	35.09	5.93e-120	42.75	9.15e-146	0.76
chr20-2058	chr20	41395440	41395740	+	47.1	0.744	7.000000	105.3	10.0	10.53	4.64e-68	8.40	1.42e-66	1.41
chr20-1321	chr20	41848398	41848698	+	47.1	0.992	9.000000	105.3	10.0	10.53	4.64e-68	73.99	1.31e-173	1.09
chr20-1673	chr20	47329507	47329807	+	47.1	0.658	8.000000	105.3	63.0	1.67	8.32e-07	1.74	1.63e-08	1.23
chr20-2157	chr20	47816719	47817019	+	47.1	0.716	7.000000	105.3	39.0	2.70	1.94e-18	4.24	3.11e-37	1.41
chr20-2164	chr20	47886715	47887015	+	47.1	0.902	7.000000	105.3	32.0	3.29	1.84e-24	5.54	3.56e-48	1.41
chr20-189	chr20	54114279	54114579	+	47.1	0.824	20.000000	105.3	65.0	1.62	3.13e-06	3.70	6.29e-32	0.49
chr20-850	chr20	54347579	54347879	+	47.1	0.937	12.000000	105.3	70.0	1.50	5.71e-05	3.20	1.54e-26	0.90
chr20-317	chr20	54642404	54642704	+	47.1	0.794	17.000000	105.3	27.0	3.90	4.58e-30	4.05	2.27e-35	0.62
chr20-319	chr20	54835822	54836122	+	47.1	0.693	17.000000	105.3	37.0	2.85	5.54e-20	7.66	2.03e-62	0.58
chr20-1936	chr20	54898645	54898945	+	47.1	0.851	8.000000	105.3	46.0	2.29	6.65e-14	5.62	8.63e-49	1.23
chr1-213	chr1	22025117	22025417	+	46.7	0.887	10.000000	104.4	2.0	52.19	2.72e-136	18.79	5.92e-104	1.09
chr1-159	chr1	211258917	211259217	+	46.7	0.944	12.000000	104.4	1.0	104.38	3.61e-167	33.76	8.89e-133	0.82
chr2-171	chr2	10490828	10491128	+	46.7	0.992	9.000000	104.4	3.0	34.79	2.08e-118	5.73	3.14e-49	1.09
chr2-36	chr2	120443078	120443378	+	46.7	0.844	16.000000	104.4	3.0	34.79	2.08e-118	13.43	7.96e-88	0.70
chr2-223	chr2	172954036	172954336	+	46.7	0.825	9.000000	104.4	6.0	17.40	2.16e-88	31.79	8.63e-130	1.23
chr2-341	chr2	178414668	178414968	+	46.7	0.992	8.000000	104.4	2.0	52.19	2.72e-136	21.56	1.24e-110	1.23
chr3-265	chr3	12763562	12763862	+	46.7	0.733	9.000000	104.4	2.0	52.19	2.72e-136	12.85	1.05e-85	1.09
chr3-271	chr3	14178327	14178627	+	46.7	0.899	9.000000	104.4	14.0	7.46	1.47e-53	15.14	1.59e-93	1.09
chr3-273	chr3	14884707	14885007	+	46.7	0.838	9.000000	104.4	5.0	20.88	3.39e-96	11.29	1.27e-79	1.23
chr3-702	chr3	63030461	63030761	+	46.7	0.690	7.000000	104.4	16.0	6.52	2.18e-48	11.67	3.58e-81	1.64
chr3-455	chr3	64165570	64165870	+	46.7	0.794	8.000000	104.4	32.0	3.26	6.06e-24	5.48	2.27e-47	1.41
chr3-762	chr3	64452276	64452576	+	46.7	0.635	7.000000	104.4	35.0	2.98	3.51e-21	4.85	2.78e-42	1.41
chr3-92	chr3	64488959	64489259	+	46.7	0.831	13.000000	104.4	51.0	2.05	5.14e-11	3.52	8.73e-30	0.90
chr4-41	chr4	3338421	3338721	+	46.7	0.992	10.000000	104.4	2.0	52.19	2.72e-136	20.62	1.79e-108	0.99
chr4-20	chr4	87422397	87422697	+	46.7	0.950	12.000000	104.4	2.0	52.19	2.72e-136	29.58	3.33e-126	0.82
chr4-34	chr4	127782418	127782718	+	46.7	0.793	11.000000	104.4	3.0	34.79	2.08e-118	25.44	9.37e-119	1.09
chr4-86	chr4	177441992	177442292	+	46.7	0.869	9.000000	104.4	4.0	26.10	7.61e-106	64.67	2.32e-165	1.23
chr5-106	chr5	36241393	36241693	+	46.7	0.795	9.000000	104.4	8.0	13.05	2.94e-76	17.42	2.80e-100	1.09
chr5-55	chr5	181223212	181223512	+	46.7	0.992	12.000000	104.4	3.0	34.79	2.08e-118	11.39	4.85e-80	0.82
chr6-89	chr6	37059303	37059603	+	46.7	0.939	10.000000	104.4	8.0	13.05	2.94e-76	19.17	6.39e-105	1.09
chr6-224	chr6	133953115	133953415	+	46.7	0.659	8.000000	104.4	6.0	17.40	2.16e-88	47.10	2.06e-149	1.23
chr8-245	chr8	48628664	48628964	+	46.7	0.887	8.000000	104.4	0.5	208.76	2.90e-198	19.37	2.06e-105	1.41
chr8-56	chr8	96959798	96960098	+	46.7	0.992	14.000000	104.4	3.0	34.79	2.08e-118	27.25	3.71e-122	0.70
chr8-47	chr8	100145729	100146029	+	46.7	0.818	15.000000	104.4	11.0	9.49	3.65e-63	13.39	1.17e-87	0.70
chr8-85	chr8	117054026	117054326	+	46.7	0.992	12.000000	104.4	4.0	26.10	7.61e-106	42.39	3.91e-144	0.82
chr8-230	chr8	142677306	142677606	+	46.7	0.698	9.000000	104.4	4.0	26.10	7.61e-106	8.83	2.67e-68	1.09
chr10-116	chr10	3197759	3198059	+	46.7	0.992	8.000000	104.4	1.0	104.38	3.61e-167	24.62	3.85e-117	1.41
chr11-124	chr11	34640365	34640665	+	46.7	0.929	9.000000	104.4	4.0	26.10	7.61e-106	28.90	4.58e-125	1.23
