# HOMER Peaks
# Peak finding parameters:
# tag directory = IP_rep2_tags
#
# total peaks = 17988
# peak size = 300
# peaks found using tags on both strands
# minimum distance between peaks = 200
# fragment length = 158
# genome size = 2000000000
# Total tags = 25730812.0
# Total tags in peaks = 1107194.0
# Approximate IP efficiency = 4.30%
# tags per bp = 0.003174
# expected tags per peak = 0.952
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 7.556326e-07
# FDR tag threshold = 9.0
# number of putative peaks = 30501
#
# input tag directory = INPUT_rep2_tags
# Fold over input required = 1.50
# Poisson p-value over input required = 1.00e-03
# Putative peaks filtered by input = 12098
#
# size of region used for local filtering = 10000
# Fold over local region required = 1.50
# Poisson p-value over local region required = 1.00e-03
# Putative peaks filtered by local signal = 414
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 1
#
# cmd = findPeaks IP_rep2_tags -style factor -F 1.5 -P 0.001 -L 1.5 -LP 0.001 -minDist 200 -size 300 -inputSize 600 -i INPUT_rep2_tags -o IP_rep2_vs_INPUT_rep2_peaks.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr17-1551	chr17	58997360	58997660	+	31.5	0.664	16.000000	22.2	4.0	5.55	3.46e-10	2.45	1.40e-12	1.15
chr17-1222	chr17	59008487	59008787	+	31.5	0.797	18.000000	22.2	9.0	2.47	1.75e-04	3.02	2.88e-17	1.15
chr17-181	chr17	79009719	79010019	+	31.5	0.868	34.000000	22.2	0.5	44.43	1.29e-28	22.01	3.13e-77	0.56
chr19-49	chr19	12945712	12946012	+	31.5	0.952	28.000000	22.2	2.0	11.11	5.53e-16	34.92	6.92e-93	0.68
chr20-1242	chr20	14878894	14879194	+	31.5	0.922	23.000000	22.2	1.0	22.21	3.42e-22	16.27	3.74e-67	0.84
chr20-881	chr20	47801449	47801749	+	31.5	0.603	27.000000	22.2	7.0	3.17	4.53e-06	1.79	9.94e-07	0.77
chr20-1178	chr20	47875103	47875403	+	31.5	0.736	24.000000	22.2	7.0	3.17	4.53e-06	2.36	9.70e-12	0.84
chr20-2287	chr20	48034920	48035220	+	31.5	0.792	16.000000	22.2	6.0	3.70	3.91e-07	2.32	1.82e-11	1.23
chr20-2098	chr20	48062657	48062957	+	31.5	0.575	17.000000	22.2	9.0	2.47	1.75e-04	2.64	3.37e-14	1.08
chr20-1659	chr20	48066893	48067193	+	31.5	0.681	20.000000	22.2	7.0	3.17	4.53e-06	3.38	5.76e-20	0.92
chr20-1662	chr20	48283654	48283954	+	31.5	0.727	20.000000	22.2	4.0	5.55	3.46e-10	4.65	1.94e-28	1.02
chr20-1940	chr20	48467708	48468008	+	31.5	0.835	18.000000	22.2	10.0	2.22	7.00e-04	3.99	2.99e-24	1.02
chr20-1109	chr20	54138947	54139247	+	31.5	0.716	25.000000	22.2	9.0	2.47	1.75e-04	2.24	9.52e-11	0.84
chr20-937	chr20	62182838	62183138	+	31.5	0.825	27.000000	22.2	2.0	11.11	5.53e-16	14.63	1.15e-63	0.71
chr21-69	chr21	39095162	39095462	+	31.5	0.988	16.000000	22.2	1.0	22.21	3.42e-22	15.68	6.03e-66	1.15
chr21-62	chr21	44765585	44765885	+	31.5	0.667	17.000000	22.2	2.0	11.11	5.53e-16	10.56	4.14e-53	1.23
chr22-20	chr22	37674975	37675275	+	31.5	0.894	24.000000	22.2	0.5	44.43	1.29e-28	15.50	1.49e-65	0.80
chrX-21	chrX	22165018	22165318	+	31.5	0.906	23.000000	22.2	0.5	44.43	1.29e-28	39.09	9.51e-97	0.84
chrX-100	chrX	123803492	123803792	+	31.5	0.893	13.000000	22.2	0.5	44.43	1.29e-28	27.00	3.95e-84	1.42
chr1-342	chr1	1343983	1344283	+	31.1	0.576	17.000000	21.9	1.0	21.94	7.54e-21	12.14	6.60e-57	1.08
chr1-160	chr1	15285060	15285360	+	31.1	0.771	24.000000	21.9	2.0	10.97	6.11e-15	17.02	8.04e-68	0.84
chr1-219	chr1	85611999	85612299	+	31.1	0.875	21.000000	21.9	0.5	43.88	5.66e-27	24.17	2.02e-79	0.88
chr1-470	chr1	106657185	106657485	+	31.1	0.740	15.000000	21.9	3.0	7.31	1.18e-11	4.96	7.44e-30	1.32
chr1-235	chr1	172358950	172359250	+	31.1	0.811	21.000000	21.9	0.5	43.88	5.66e-27	18.35	2.76e-70	0.92
chr1-264	chr1	184156541	184156841	+	31.1	0.809	20.000000	21.9	1.0	21.94	7.54e-21	14.29	3.87e-62	0.92
chr2-144	chr2	191014173	191014473	+	31.1	0.899	22.000000	21.9	2.0	10.97	6.11e-15	26.67	1.07e-82	0.88
chr2-364	chr2	215619084	215619384	+	31.1	0.811	15.000000	21.9	0.5	43.88	5.66e-27	22.69	2.59e-77	1.32
chr3-388	chr3	15634168	15634468	+	31.1	0.988	17.000000	21.9	1.0	21.94	7.54e-21	13.20	1.43e-59	1.15
chr3-244	chr3	50605140	50605440	+	31.1	0.936	20.000000	21.9	3.0	7.31	1.18e-11	7.31	4.00e-41	0.97
chr3-288	chr3	63727094	63727394	+	31.1	0.586	19.000000	21.9	9.0	2.44	4.39e-04	2.70	1.54e-14	1.02
chr3-412	chr3	64383094	64383394	+	31.1	0.696	17.000000	21.9	6.0	3.66	1.46e-06	3.16	3.95e-18	1.08
chr3-510	chr3	97282153	97282453	+	31.1	0.867	16.000000	21.9	2.0	10.97	6.11e-15	42.40	2.46e-98	1.23
chr3-231	chr3	123332313	123332613	+	31.1	0.875	21.000000	21.9	0.5	43.88	5.66e-27	14.06	1.31e-61	0.92
chr3-279	chr3	185586066	185586366	+	31.1	0.808	20.000000	21.9	3.0	7.31	1.18e-11	18.09	8.01e-70	0.97
chr4-39	chr4	128062091	128062391	+	31.1	0.866	23.000000	21.9	1.0	21.94	7.54e-21	15.97	9.69e-66	0.80
chr5-52	chr5	81301427	81301727	+	31.1	0.916	24.000000	21.9	1.0	21.94	7.54e-21	22.89	1.32e-77	0.84
chr6-270	chr6	4357701	4358001	+	31.1	0.975	13.000000	21.9	1.0	21.94	7.54e-21	15.49	9.46e-65	1.42
chr6-75	chr6	37172115	37172415	+	31.1	0.768	23.000000	21.9	0.5	43.88	5.66e-27	9.34	1.26e-48	0.80
chr7-144	chr7	8290963	8291263	+	31.1	0.853	20.000000	21.9	2.0	10.97	6.11e-15	49.74	9.20e-104	0.97
chr7-170	chr7	16847386	16847686	+	31.1	0.840	19.000000	21.9	0.5	43.88	5.66e-27	22.89	1.32e-77	1.08
chr7-162	chr7	150367952	150368252	+	31.1	0.689	20.000000	21.9	2.0	10.97	6.11e-15	10.10	4.35e-51	0.97
chr8-184	chr8	80874459	80874759	+	31.1	0.938	19.000000	21.9	3.0	7.31	1.18e-11	23.30	3.36e-78	0.97
chr8-119	chr8	103020885	103021185	+	31.1	0.764	25.000000	21.9	2.0	10.97	6.11e-15	11.25	1.83e-54	0.88
chr8-273	chr8	119178448	119178748	+	31.1	0.927	16.000000	21.9	2.0	10.97	6.11e-15	12.50	8.06e-58	1.15
chr9-97	chr9	75028443	75028743	+	31.1	0.830	26.000000	21.9	3.0	7.31	1.18e-11	36.95	1.13e-93	0.77
chr9-224	chr9	89756875	89757175	+	31.1	0.744	17.000000	21.9	3.0	7.31	1.18e-11	6.39	4.00e-37	1.08
chr9-106	chr9	109331399	109331699	+	31.1	0.916	25.000000	21.9	2.0	10.97	6.11e-15	14.21	5.83e-62	0.77
chr10-70	chr10	43355887	43356187	+	31.1	0.612	22.000000	21.9	2.0	10.97	6.11e-15	10.39	5.86e-52	0.88
chr11-83	chr11	47408236	47408536	+	31.1	0.892	24.000000	21.9	0.5	43.88	5.66e-27	9.76	5.24e-50	0.84
chr11-124	chr11	93661494	93661794	+	31.1	0.681	20.000000	21.9	0.5	43.88	5.66e-27	36.43	3.41e-93	0.92
chr12-147	chr12	57487739	57488039	+	31.1	0.759	20.000000	21.9	1.0	21.94	7.54e-21	10.82	2.99e-53	0.97
chr12-212	chr12	59973730	59974030	+	31.1	0.682	17.000000	21.9	1.0	21.94	7.54e-21	17.02	8.04e-68	1.08
chr12-120	chr12	93563763	93564063	+	31.1	0.874	22.000000	21.9	0.5	43.88	5.66e-27	17.72	3.85e-69	0.88
chr12-170	chr12	121227418	121227718	+	31.1	0.851	19.000000	21.9	0.5	43.88	5.66e-27	12.14	6.60e-57	0.97
chr13-67	chr13	31053115	31053415	+	31.1	0.899	16.000000	21.9	1.0	21.94	7.54e-21	15.22	3.59e-64	1.15
chr14-81	chr14	20343093	20343393	+	31.1	0.788	24.000000	21.9	1.0	21.94	7.54e-21	18.88	3.12e-71	0.80
chr14-93	chr14	21103779	21104079	+	31.1	0.747	23.000000	21.9	1.0	21.94	7.54e-21	8.83	6.90e-47	0.80
chr14-130	chr14	58455846	58456146	+	31.1	0.957	20.000000	21.9	0.5	43.88	5.66e-27	51.73	4.24e-105	0.97
chr14-172	chr14	76961768	76962068	+	31.1	0.912	18.000000	21.9	3.0	7.31	1.18e-11	10.22	1.86e-51	1.08
chr15-192	chr15	74200912	74201212	+	31.1	0.694	17.000000	21.9	2.0	10.97	6.11e-15	7.13	2.26e-40	1.23
chr16-387	chr16	4624378	4624678	+	31.1	0.965	15.000000	21.9	0.5	43.88	5.66e-27	15.77	2.43e-65	1.32
chr16-129	chr16	28945472	28945772	+	31.1	0.895	26.000000	21.9	1.0	21.94	7.54e-21	11.25	1.83e-54	0.74
chr17-1047	chr17	58007130	58007430	+	31.1	0.623	19.000000	21.9	3.0	7.31	1.18e-11	6.10	8.79e-36	0.97
chr17-954	chr17	60158660	60158960	+	31.1	0.655	20.000000	21.9	7.0	3.13	1.45e-05	1.51	3.24e-04	1.02
chr17-461	chr17	82839950	82840250	+	31.1	0.952	26.000000	21.9	3.0	7.31	1.18e-11	16.69	3.50e-67	0.74
chr19-113	chr19	2032313	2032613	+	31.1	0.848	20.000000	21.9	0.5	43.88	5.66e-27	14.61	7.31e-63	0.97
chr19-156	chr19	3520651	3520951	+	31.1	0.938	17.000000	21.9	1.0	21.94	7.54e-21	17.84	2.29e-69	1.08
chr19-242	chr19	8526156	8526456	+	31.1	0.899	14.000000	21.9	3.0	7.31	1.18e-11	24.17	2.02e-79	1.42
chr19-102	chr19	41264128	41264428	+	31.1	0.771	21.000000	21.9	1.0	21.94	7.54e-21	12.44	1.15e-57	0.92
chr19-120	chr19	44212464	44212764	+	31.1	0.817	20.000000	21.9	0.5	43.88	5.66e-27	33.59	1.87e-90	0.97
chr20-2429	chr20	41142352	41142652	+	31.1	0.698	15.000000	21.9	1.0	21.94	7.54e-21	5.68	9.67e-34	1.23
chr20-1882	chr20	44521684	44521984	+	31.1	0.677	18.000000	21.9	1.0	21.94	7.54e-21	15.40	1.48e-64	1.02
chr20-3219	chr20	44684733	44685033	+	31.1	0.729	12.000000	21.9	1.0	21.94	7.54e-21	13.76	6.50e-61	1.54
chr20-2096	chr20	48014110	48014410	+	31.1	0.634	17.000000	21.9	9.0	2.44	4.39e-04	3.23	1.24e-18	1.15
chr20-1535	chr20	48638463	48638763	+	31.1	0.703	21.000000	21.9	6.0	3.66	1.46e-06	3.46	2.24e-20	0.92
chr20-1463	chr20	54275213	54275513	+	31.1	0.787	22.000000	21.9	3.0	7.31	1.18e-11	3.02	4.41e-17	0.92
chr21-46	chr21	36188198	36188498	+	31.1	0.843	19.000000	21.9	0.5	43.88	5.66e-27	20.21	1.79e-73	0.97
chr22-29	chr22	41286286	41286586	+	31.1	0.976	21.000000	21.9	2.0	10.97	6.11e-15	27.52	9.48e-84	0.88
chrX-23	chrX	48676157	48676457	+	31.1	0.929	23.000000	21.9	3.0	7.31	1.18e-11	19.02	1.79e-71	0.84
chrX-40	chrX	140492342	140492642	+	31.1	0.926	18.000000	21.9	0.5	43.88	5.66e-27	39.19	1.15e-95	1.02
chr1-312	chr1	115952828	115953128	+	30.7	0.784	18.000000	21.7	1.0	21.67	7.54e-21	14.51	7.05e-62	1.08
chr1-722	chr1	150561540	150561840	+	30.7	0.731	13.000000	21.7	2.0	10.83	6.11e-15	6.39	1.12e-36	1.42
chr1-234	chr1	162285271	162285571	+	30.7	0.872	21.000000	21.7	0.5	43.33	5.66e-27	30.78	1.96e-86	0.92
chr1-157	chr1	169105574	169105874	+	30.7	0.750	25.000000	21.7	4.0	5.42	1.92e-09	12.84	5.72e-58	0.77
chr1-238	chr1	183159978	183160278	+	30.7	0.967	21.000000	21.7	4.0	5.42	1.92e-09	35.48	3.63e-91	0.92
chr1-330	chr1	202086981	202087281	+	30.7	0.904	18.000000	21.7	2.0	10.83	6.11e-15	11.77	3.09e-55	1.02
chr1-289	chr1	202107781	202108081	+	30.7	0.730	19.000000	21.7	2.0	10.83	6.11e-15	2.86	1.16e-15	1.02
chr1-149	chr1	224929808	224930108	+	30.7	0.717	26.000000	21.7	4.0	5.42	1.92e-09	23.43	1.98e-77	0.71
chr2-257	chr2	58614296	58614596	+	30.7	0.989	17.000000	21.7	0.5	43.33	5.66e-27	36.49	4.17e-92	1.15
chr2-199	chr2	66389808	66390108	+	30.7	0.853	19.000000	21.7	2.0	10.83	6.11e-15	26.33	2.85e-81	1.02
chr2-155	chr2	96305301	96305601	+	30.7	0.773	21.000000	21.7	1.0	21.67	7.54e-21	14.43	1.07e-61	0.92
chr2-206	chr2	109136562	109136862	+	30.7	0.947	19.000000	21.7	1.0	21.67	7.54e-21	44.81	5.55e-99	1.08
chr3-147	chr3	10552049	10552349	+	30.7	0.712	26.000000	21.7	2.0	10.83	6.11e-15	10.38	2.56e-51	0.77
chr3-267	chr3	64734224	64734524	+	30.7	0.766	20.000000	21.7	8.0	2.71	9.40e-05	3.30	5.67e-19	0.97
chr3-502	chr3	64919100	64919400	+	30.7	0.839	16.000000	21.7	3.0	7.22	1.18e-11	3.51	1.68e-20	1.23
chr3-241	chr3	172467188	172467488	+	30.7	0.837	21.000000	21.7	0.5	43.33	5.66e-27	9.82	1.33e-49	0.97
chr3-666	chr3	193782437	193782737	+	30.7	0.761	15.000000	21.7	3.0	7.22	1.18e-11	17.14	3.11e-67	1.23
chr4-19	chr4	1365739	1366039	+	30.7	0.754	28.000000	21.7	1.0	21.67	7.54e-21	17.14	3.11e-67	0.74
chr4-26	chr4	6689149	6689449	+	30.7	0.583	26.000000	21.7	1.0	21.67	7.54e-21	8.19	4.89e-44	0.77
chr4-61	chr4	8183478	8183778	+	30.7	0.713	18.000000	21.7	0.5	43.33	5.66e-27	14.03	8.29e-61	1.02
chr5-242	chr5	20972518	20972818	+	30.7	0.953	13.000000	21.7	1.0	21.67	7.54e-21	39.91	4.22e-95	1.54
chr5-69	chr5	139642995	139643295	+	30.7	0.696	22.000000	21.7	1.0	21.67	7.54e-21	4.40	2.61e-26	0.88
chr6-160	chr6	53112575	53112875	+	30.7	0.723	17.000000	21.7	2.0	10.83	6.11e-15	16.59	3.62e-66	1.08
chr7-66	chr7	1569973	1570273	+	30.7	0.629	28.000000	21.7	1.0	21.67	7.54e-21	12.46	4.98e-57	0.68
chr7-94	chr7	73738921	73739221	+	30.7	0.889	24.000000	21.7	2.0	10.83	6.11e-15	6.63	8.63e-38	0.84
chr7-206	chr7	100022801	100023101	+	30.7	0.889	18.000000	21.7	3.0	7.22	1.18e-11	16.27	1.52e-65	1.02
chr7-267	chr7	130996797	130997097	+	30.7	0.894	16.000000	21.7	0.5	43.33	5.66e-27	29.03	1.71e-84	1.15
chr8-96	chr8	11730684	11730984	+	30.7	0.789	27.000000	21.7	0.5	43.33	5.66e-27	18.64	5.89e-70	0.71
chr8-137	chr8	86514432	86514732	+	30.7	0.750	23.000000	21.7	3.0	7.22	1.18e-11	15.58	3.84e-64	0.84
chr8-109	chr8	100721947	100722247	+	30.7	0.664	26.000000	21.7	1.0	21.67	7.54e-21	6.21	6.82e-36	0.74
chr8-175	chr8	126570565	126570865	+	30.7	0.692	20.000000	21.7	4.0	5.42	1.92e-09	5.95	1.17e-34	0.92
chr9-183	chr9	63817733	63818033	+	30.7	0.701	19.000000	21.7	6.0	3.61	1.46e-06	26.06	6.21e-81	0.97
chr9-185	chr9	87386458	87386758	+	30.7	0.903	19.000000	21.7	0.5	43.33	5.66e-27	16.37	9.43e-66	1.08
chr9-88	chr9	106794239	106794539	+	30.7	0.840	27.000000	21.7	5.0	4.33	8.11e-08	33.61	2.30e-89	0.68
chr9-127	chr9	113150817	113151117	+	30.7	0.670	23.000000	21.7	5.0	4.33	8.11e-08	11.40	3.06e-54	0.84
chr9-84	chr9	128635286	128635586	+	30.7	0.872	28.000000	21.7	1.0	21.67	7.54e-21	10.22	8.12e-51	0.68
chr10-112	chr10	78756570	78756870	+	30.7	0.878	18.000000	21.7	4.0	5.42	1.92e-09	18.92	1.96e-70	1.08
chr11-30	chr11	62672313	62672613	+	30.7	0.760	37.000000	21.7	2.0	10.83	6.11e-15	7.47	2.77e-41	0.53
chr11-150	chr11	62909263	62909563	+	30.7	0.765	18.000000	21.7	3.0	7.22	1.18e-11	18.78	3.41e-70	1.08
chr11-26	chr11	67373573	67373873	+	30.7	0.871	38.000000	21.7	1.0	21.67	7.54e-21	11.35	4.22e-54	0.50
chr11-136	chr11	68659227	68659527	+	30.7	0.871	19.000000	21.7	0.5	43.33	5.66e-27	15.77	1.55e-64	1.02
chr11-181	chr11	126382671	126382971	+	30.7	0.832	17.000000	21.7	0.5	43.33	5.66e-27	21.11	5.27e-74	1.08
chr12-231	chr12	9662564	9662864	+	30.7	0.827	16.000000	21.7	0.5	43.33	5.66e-27	17.62	4.09e-68	1.32
chr12-158	chr12	33587753	33588053	+	30.7	0.769	19.000000	21.7	0.5	43.33	5.66e-27	18.78	3.41e-70	1.02
chr12-82	chr12	52192078	52192378	+	30.7	0.700	26.000000	21.7	3.0	7.22	1.18e-11	10.14	1.43e-50	0.74
chr12-70	chr12	53220792	53221092	+	30.7	0.833	28.000000	21.7	1.0	21.67	7.54e-21	8.24	3.13e-44	0.68
chr12-151	chr12	96316169	96316469	+	30.7	0.978	20.000000	21.7	1.0	21.67	7.54e-21	94.60	3.17e-124	0.92
chr12-223	chr12	124130713	124131013	+	30.7	0.890	17.000000	21.7	0.5	43.33	5.66e-27	18.12	5.07e-69	1.08
chr13-54	chr13	42049198	42049498	+	30.7	0.760	17.000000	21.7	3.0	7.22	1.18e-11	12.90	3.96e-58	1.23
chr14-240	chr14	33781385	33781685	+	30.7	0.928	15.000000	21.7	2.0	10.83	6.11e-15	15.30	1.47e-63	1.23
chr14-196	chr14	73490793	73491093	+	30.7	0.885	17.000000	21.7	5.0	4.33	8.11e-08	13.30	4.18e-59	1.15
chr14-65	chr14	77027822	77028122	+	30.7	0.700	27.000000	21.7	3.0	7.22	1.18e-11	7.20	3.55e-40	0.74
chr14-125	chr14	93959471	93959771	+	30.7	0.895	21.000000	21.7	8.0	2.71	9.40e-05	11.61	8.34e-55	0.92
chr15-94	chr15	40953198	40953498	+	30.7	0.845	23.000000	21.7	0.5	43.33	5.66e-27	15.67	2.44e-64	0.80
chr15-296	chr15	100212139	100212439	+	30.7	0.952	14.000000	21.7	0.5	43.33	5.66e-27	18.92	1.96e-70	1.32
chr16-195	chr16	82152704	82153004	+	30.7	0.832	22.000000	21.7	1.0	21.67	7.54e-21	18.38	1.74e-69	0.88
chr16-414	chr16	84177190	84177490	+	30.7	0.730	15.000000	21.7	2.0	10.83	6.11e-15	5.83	4.57e-34	1.32
chr17-918	chr17	16217117	16217417	+	30.7	0.800	20.000000	21.7	0.5	43.33	5.66e-27	12.05	5.70e-56	0.92
chr17-2727	chr17	50144858	50145158	+	30.7	0.929	11.000000	21.7	0.5	43.33	5.66e-27	10.96	5.23e-53	1.68
chr17-1192	chr17	78592468	78592768	+	30.7	0.576	19.000000	21.7	2.0	10.83	6.11e-15	14.27	2.44e-61	1.02
chr17-914	chr17	80415236	80415536	+	30.7	0.763	21.000000	21.7	0.5	43.33	5.66e-27	17.86	1.45e-68	0.88
chr19-178	chr19	1166894	1167194	+	30.7	0.899	16.000000	21.7	1.0	21.67	7.54e-21	6.17	1.11e-35	1.23
chr19-123	chr19	56121290	56121590	+	30.7	0.897	20.000000	21.7	0.5	43.33	5.66e-27	16.48	5.85e-66	0.92
chr20-1657	chr20	47853655	47853955	+	30.7	0.701	20.000000	21.7	8.0	2.71	9.40e-05	2.33	2.79e-11	0.97
chr20-1531	chr20	47972350	47972650	+	30.7	0.764	21.000000	21.7	7.0	3.10	1.45e-05	2.39	8.09e-12	0.92
chr20-1066	chr20	48006027	48006327	+	30.7	0.541	25.000000	21.7	6.0	3.61	1.46e-06	2.78	5.12e-15	0.80
chr20-2174	chr20	54429607	54429907	+	30.7	0.892	17.000000	21.7	7.0	3.10	1.45e-05	2.86	1.23e-15	1.15
chr20-3179	chr20	57809163	57809463	+	30.7	0.750	13.000000	21.7	0.5	43.33	5.66e-27	4.81	1.09e-28	1.42
chr20-2413	chr20	64222364	64222664	+	30.7	0.816	16.000000	21.7	2.0	10.83	6.11e-15	13.23	6.11e-59	1.15
chr22-30	chr22	20982045	20982345	+	30.7	0.670	20.000000	21.7	1.0	21.67	7.54e-21	11.99	8.02e-56	0.97
chrX-110	chrX	20969136	20969436	+	30.7	0.925	12.000000	21.7	1.0	21.67	7.54e-21	56.76	6.21e-107	1.54
chrX-95	chrX	104165931	104166231	+	30.7	0.811	13.000000	21.7	2.0	10.83	6.11e-15	35.48	3.63e-91	1.42
chr1-216	chr1	42462987	42463287	+	30.3	0.733	21.000000	21.4	2.0	10.70	6.11e-15	22.32	6.84e-75	0.92
chr1-302	chr1	55429078	55429378	+	30.3	0.838	18.000000	21.4	0.5	42.78	5.66e-27	18.96	1.23e-69	1.08
chr1-178	chr1	66452204	66452504	+	30.3	0.960	23.000000	21.4	0.5	42.78	5.66e-27	27.71	6.19e-82	0.80
chr1-287	chr1	155125993	155126293	+	30.3	0.766	19.000000	21.4	2.0	10.70	6.11e-15	6.71	1.19e-37	1.08
chr2-250	chr2	20474289	20474589	+	30.3	0.900	17.000000	21.4	2.0	10.70	6.11e-15	14.33	1.02e-60	1.08
chr2-256	chr2	53989496	53989796	+	30.3	0.940	17.000000	21.4	0.5	42.78	5.66e-27	11.90	6.88e-55	1.08
chr2-222	chr2	85538613	85538913	+	30.3	0.685	18.000000	21.4	3.0	7.13	1.18e-11	16.70	1.42e-65	1.02
chr2-258	chr2	98058472	98058772	+	30.3	0.856	17.000000	21.4	2.0	10.70	6.11e-15	24.97	1.55e-78	1.15
chr2-158	chr2	102100824	102101124	+	30.3	0.670	21.000000	21.4	0.5	42.78	5.66e-27	15.10	2.25e-62	1.02
chr2-261	chr2	111698893	111699193	+	30.3	0.747	17.000000	21.4	3.0	7.13	1.18e-11	16.48	3.72e-65	1.15
chr2-302	chr2	131004707	131005007	+	30.3	0.676	16.000000	21.4	1.0	21.39	7.54e-21	19.11	7.05e-70	1.15
chr2-103	chr2	219001748	219002048	+	30.3	0.707	26.000000	21.4	6.0	3.57	1.46e-06	7.42	1.39e-40	0.80
chr3-156	chr3	9890518	9890818	+	30.3	0.911	25.000000	21.4	2.0	10.70	6.11e-15	13.27	2.62e-58	0.74
chr3-286	chr3	53145344	53145644	+	30.3	0.747	19.000000	21.4	1.0	21.39	7.54e-21	17.27	1.19e-66	1.08
chr3-177	chr3	123033392	123033692	+	30.3	0.934	24.000000	21.4	0.5	42.78	5.66e-27	16.93	5.33e-66	0.84
chr3-657	chr3	150237538	150237838	+	30.3	0.851	15.000000	21.4	0.5	42.78	5.66e-27	6.32	6.07e-36	1.32
chr3-242	chr3	176855983	176856283	+	30.3	0.852	21.000000	21.4	0.5	42.78	5.66e-27	18.54	6.40e-69	0.88
chr5-162	chr5	5136036	5136336	+	30.3	0.768	15.000000	21.4	1.0	21.39	7.54e-21	15.86	6.23e-64	1.32
chr5-375	chr5	32126150	32126450	+	30.3	0.987	11.000000	21.4	1.0	21.39	7.54e-21	30.76	2.42e-85	1.68
chr5-63	chr5	139637447	139637747	+	30.3	0.884	23.000000	21.4	0.5	42.78	5.66e-27	6.35	4.36e-36	0.84
chr5-64	chr5	139644176	139644476	+	30.3	0.891	23.000000	21.4	1.0	21.39	7.54e-21	6.42	2.24e-36	0.88
chr5-85	chr5	173616599	173616899	+	30.3	0.832	21.000000	21.4	3.0	7.13	1.18e-11	15.19	1.45e-62	0.92
chr6-144	chr6	7389871	7390171	+	30.3	0.784	17.000000	21.4	1.0	21.39	7.54e-21	20.50	3.76e-72	1.08
chr6-85	chr6	7418311	7418611	+	30.3	0.908	21.000000	21.4	0.5	42.78	5.66e-27	13.86	1.16e-59	1.02
chr6-278	chr6	26285166	26285466	+	30.3	0.655	13.000000	21.4	1.0	21.39	7.54e-21	17.39	7.21e-67	1.54
chr6-245	chr6	43951632	43951932	+	30.3	0.765	14.000000	21.4	1.0	21.39	7.54e-21	20.02	2.25e-71	1.32
chr7-250	chr7	21076606	21076906	+	30.3	0.975	16.000000	21.4	0.5	42.78	5.66e-27	38.80	5.48e-93	1.23
chr7-145	chr7	22593897	22594197	+	30.3	0.989	20.000000	21.4	2.0	10.70	6.11e-15	19.25	4.02e-70	0.92
chr7-146	chr7	32490247	32490547	+	30.3	0.833	20.000000	21.4	2.0	10.70	6.11e-15	12.07	2.48e-55	0.97
chr7-296	chr7	77536624	77536924	+	30.3	0.975	15.000000	21.4	3.0	7.13	1.18e-11	12.61	1.05e-56	1.32
chr7-371	chr7	116730617	116730917	+	30.3	0.937	14.000000	21.4	1.0	21.39	7.54e-21	15.28	9.33e-63	1.32
chr8-466	chr8	49797864	49798164	+	30.3	0.951	12.000000	21.4	1.0	21.39	7.54e-21	21.93	2.53e-74	1.54
chr8-136	chr8	56074401	56074701	+	30.3	0.757	23.000000	21.4	3.0	7.13	1.18e-11	19.11	7.05e-70	0.84
chr8-471	chr8	66190908	66191208	+	30.3	0.878	12.000000	21.4	0.5	42.78	5.66e-27	22.52	3.53e-75	1.54
chr8-257	chr8	79890671	79890971	+	30.3	0.683	16.000000	21.4	2.0	10.70	6.11e-15	18.68	3.71e-69	1.23
chr8-125	chr8	90399018	90399318	+	30.3	0.792	24.000000	21.4	4.0	5.35	1.92e-09	16.17	1.55e-64	0.80
chr8-274	chr8	123922029	123922329	+	30.3	0.628	16.000000	21.4	2.0	10.70	6.11e-15	7.78	5.28e-42	1.23
chr8-176	chr8	127734047	127734347	+	30.3	0.918	20.000000	21.4	6.0	3.57	1.46e-06	3.57	1.23e-20	0.97
chr9-226	chr9	93893912	93894212	+	30.3	0.975	17.000000	21.4	1.0	21.39	7.54e-21	14.84	8.22e-62	1.08
chr9-160	chr9	133992886	133993186	+	30.3	0.750	21.000000	21.4	4.0	5.35	1.92e-09	7.96	1.19e-42	0.88
chr9-196	chr9	136282437	136282737	+	30.3	0.848	19.000000	21.4	1.0	21.39	7.54e-21	10.73	1.05e-51	1.15
chr10-104	chr10	13708743	13709043	+	30.3	0.938	18.000000	21.4	0.5	42.78	5.66e-27	15.76	9.85e-64	1.02
chr10-80	chr10	29583710	29584010	+	30.3	0.851	21.000000	21.4	0.5	42.78	5.66e-27	30.39	6.04e-85	0.88
chr10-147	chr10	42782535	42782835	+	30.3	0.824	16.000000	21.4	0.5	42.78	5.66e-27	15.38	5.98e-63	1.32
chr10-250	chr10	80163763	80164063	+	30.3	0.659	13.000000	21.4	1.0	21.39	7.54e-21	23.14	4.65e-76	1.42
